userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
mignonneTseng8556,mignonneTseng8556,NY,Patchogue Medford High School,Medford,NY,2.5,2024,Biology,History,550,500,23,22,25,21,23,550,550,580,530,490,540,540,560,550,8
bobinaBiggs940,bobinaBiggs940,NY,Earl L Vandermeulen High School,Port Jefferson,NY,3.4,2024,History,Geology,740,740,30,36,34,34,32,760,730,800,790,800,790,800,800,760,3
shelEmelda1611,shelEmelda1611,NY,Sachem High School North,Lake Ronkonkoma,NY,3.5,2024,Biology,Computer Science,690,710,23,31,25,26,27,680,660,680,630,660,740,700,710,670,0
toreyCathlene5729,toreyCathlene5729,NY,Harborfields High School,Greenlawn,NY,3.2,2024,Computer Science,History,740,790,29,29,32,35,26,790,770,770,740,730,750,760,750,780,4
kassiaGaniats7320,kassiaGaniats7320,NY,Mattituck Junior Senior High School,Mattituck,NY,2.4,2024,Computer Science,Music Theory,490,460,18,23,15,19,18,500,500,500,440,510,470,440,450,510,8
erickaDurwyn1782,erickaDurwyn1782,NY,Miller Place High School,Miller Place,NY,3.3,2024,Biology,Chemistry,770,730,32,35,31,28,26,740,690,700,760,730,790,710,720,720,2
hestherLevan2622,hestherLevan2622,NY,John H Glenn High School,Elwood,NY,2.4,2024,Geology,Mathematics,470,500,18,22,17,22,21,430,510,460,470,410,470,480,480,520,8
onidaEdelman3588,onidaEdelman3588,NY,Centereach High School,Centereach,NY,3.3,2024,Mathematics,Chemistry,800,790,27,30,33,30,25,720,720,750,720,800,800,720,660,670,7
emmaSola8716,emmaSola8716,NY,Sayville High School,West Sayville,NY,3.4,2024,Art History,Music Theory,680,660,26,31,29,28,27,670,680,680,700,720,670,620,720,680,7
margiTenner5982,margiTenner5982,NY,Southampton High School,Southampton,NY,2.8,2024,Geology,Computer Science,570,600,32,21,23,25,19,610,600,560,580,640,580,580,590,570,5
ainslieHyozo507,ainslieHyozo507,NY,John H Glenn High School,Elwood,NY,3.0,2024,Music Theory,Geology,690,670,30,26,31,29,32,750,650,680,640,650,680,630,630,710,2
cindyKado2301,cindyKado2301,NY,Earl L Vandermeulen High School,Port Jefferson,NY,2.3,2024,Physics,Geology,560,620,21,20,24,22,26,540,580,650,580,580,560,600,620,610,7
ulrikaLewison1333,ulrikaLewison1333,NY,Rocky Point High School,Rocky Point,NY,2.5,2024,Political Science,Art History,560,600,24,24,24,24,24,510,550,560,610,570,550,590,560,520,7
lenaMarienthal590,lenaMarienthal590,NY,Amityville Memorial High School,Amityville,NY,3.0,2024,Physics,Art History,590,700,28,31,25,29,31,650,620,640,660,680,690,650,660,640,4
gladysAbisia7331,gladysAbisia7331,NY,West Islip Senior High School,West Islip,NY,2.0,2024,Political Science,Geology,530,530,26,22,17,24,20,580,550,570,600,520,520,470,540,540,6
violetteAnatolio2882,violetteAnatolio2882,NY,Centereach High School,Centereach,NY,2.7,2024,Geology,Art History,590,560,20,26,17,22,22,450,570,540,540,550,540,550,560,570,1
angeLem5129,angeLem5129,NY,Centereach High School,Centereach,NY,2.4,2024,Political Science,Computer Science,470,500,18,21,19,12,22,480,510,530,460,520,510,450,460,550,2
tildaGrati2414,tildaGrati2414,NY,Miller Place High School,Miller Place,NY,2.5,2024,Geology,Art History,560,550,24,24,20,18,15,530,520,470,510,530,470,520,500,470,7
marshaCarli1852,marshaCarli1852,NY,Eastport South Manor Junior Senior High School,Manorville,NY,2.1,2024,Biology,Geology,410,420,11,11,14,16,11,380,400,400,390,410,390,400,410,440,9
pruChlori802,pruChlori802,NY,Central Islip Senior High School,Central Islip,NY,2.8,2024,Physics,Mathematics,700,660,27,29,28,26,27,690,660,610,590,600,640,630,660,640,3
joeannTye5746,joeannTye5746,NY,Cold Spring Harbor High School,Cold Spring Harbor,NY,3.1,2024,Music Theory,Physics,700,710,31,34,29,29,31,730,750,780,730,690,690,690,700,680,3
jacquieJandel5664,jacquieJandel5664,NY,Rocky Point High School,Rocky Point,NY,3.4,2024,History,Mathematics,750,800,34,35,35,34,32,780,800,740,770,730,760,730,790,760,0
caryGoles6775,caryGoles6775,NY,Centereach High School,Centereach,NY,3.4,2024,Music Theory,Biology,630,680,23,20,26,32,27,730,760,680,750,690,660,700,700,610,4
renateMelvina8373,renateMelvina8373,NY,Mount Sinai High School,Mount Sinai,NY,2.7,2024,Biology,Art History,600,700,27,29,23,28,23,620,640,730,690,670,630,630,630,680,8
madelenaDonahue4441,madelenaDonahue4441,NY,Brentwood High School,Brentwood,NY,2.3,2024,Physics,Art History,530,520,14,22,23,18,21,540,580,540,520,550,520,490,530,560,2
melindeDareece2193,melindeDareece2193,NY,Commack High School,Commack,NY,2.4,2024,Music Theory,Art History,600,620,28,17,28,23,21,590,560,600,620,630,590,650,600,540,6
daryaMaitund5203,daryaMaitund5203,NY,Riverhead Senior High School,Riverhead,NY,1.9,2024,Geology,Political Science,440,460,6,17,20,15,12,400,480,410,450,440,400,450,420,410,7
angeleGorlicki7212,angeleGorlicki7212,NY,Central Islip Senior High School,Central Islip,NY,2.5,2024,Biology,Computer Science,550,540,23,20,17,25,19,570,500,540,580,560,550,600,540,550,2
poppyRainwater8253,poppyRainwater8253,NY,Sayville High School,West Sayville,NY,2.7,2024,Political Science,Computer Science,560,610,25,25,28,23,19,610,580,650,620,650,600,550,540,600,5
bertaFlita9000,bertaFlita9000,NY,Commack High School,Commack,NY,4.0,2024,Geology,Physics,800,710,35,32,33,26,35,760,770,750,800,750,790,760,760,760,7
emaliaCaiaphas2566,emaliaCaiaphas2566,NY,Center Moriches High School,Center Moriches,NY,2.1,2024,History,Art History,400,460,13,10,14,16,14,400,430,400,410,420,430,410,450,400,4
millisentHettie7602,millisentHettie7602,NY,Greenport High School,Greenport,NY,2.1,2024,History,Political Science,600,600,23,19,26,27,24,570,570,610,590,610,540,580,570,580,3
joannHebner2462,joannHebner2462,NY,Walter G Oconnell Copiague High School,Copiague,NY,2.8,2024,History,Geology,630,630,22,29,24,21,28,610,640,660,630,680,640,650,700,640,4
marniaWeider3395,marniaWeider3395,NY,North Babylon High School,North Babylon,NY,2.2,2024,Music Theory,Art History,530,520,22,19,19,17,22,500,530,500,510,490,520,510,500,530,3
easterRichardson2593,easterRichardson2593,NY,East Hampton High School,East Hampton,NY,3.2,2024,Physics,Computer Science,610,630,26,23,22,26,23,630,650,650,630,650,630,650,660,640,5
nanetteBelvia8625,nanetteBelvia8625,NY,Commack High School,Commack,NY,2.9,2024,Biology,Mathematics,730,700,28,26,28,34,26,700,720,710,690,690,630,700,640,710,4
agnolaMalva4046,agnolaMalva4046,NY,Brentwood High School,Brentwood,NY,3.4,2024,Mathematics,Biology,750,670,29,30,35,33,22,750,740,760,690,700,750,720,690,700,0
geriannaBarnabe4699,geriannaBarnabe4699,NY,Islip High School,Islip,NY,2.5,2024,Biology,Physics,560,580,24,23,26,17,27,590,560,610,570,590,600,630,590,580,1
kierstenGreenes2050,kierstenGreenes2050,NY,Sachem High School North,Lake Ronkonkoma,NY,2.5,2024,History,Music Theory,630,570,27,21,23,24,23,580,600,560,650,610,540,570,590,600,5
chlorisGleason7413,chlorisGleason7413,NY,Central Islip Senior High School,Central Islip,NY,1.9,2024,Art History,Political Science,370,430,19,17,19,13,12,400,420,370,380,370,420,410,370,400,5
margueritePeterus5876,margueritePeterus5876,NY,Eastport South Manor Junior Senior High School,Manorville,NY,3.1,2024,Chemistry,Geology,630,670,25,29,26,25,28,690,630,630,630,630,630,630,600,630,3
corrinaTamer8526,corrinaTamer8526,NY,Walter G Oconnell Copiague High School,Copiague,NY,3.4,2024,History,Political Science,660,700,26,24,30,23,27,680,630,650,610,630,660,670,690,680,7
gypsyEdi6423,gypsyEdi6423,NY,Smithtown Christian School,Smithtown,NY,2.5,2024,Physics,History,510,510,22,21,26,17,19,550,520,580,560,560,530,540,540,530,6
carolannWera740,carolannWera740,NY,Sayville High School,West Sayville,NY,2.9,2024,Art History,Music Theory,660,730,20,26,29,27,27,700,660,690,710,700,710,730,670,690,4
alyceCarry4049,alyceCarry4049,NY,Pierson Middle High School,Sag Harbor,NY,2.7,2024,Computer Science,Mathematics,520,460,18,20,15,23,18,560,590,570,500,530,470,550,500,560,9
ediFalconer2325,ediFalconer2325,NY,Bellport Senior High School,Brookhaven,NY,3.0,2024,Political Science,Biology,730,700,28,25,23,29,29,680,680,670,720,660,690,680,660,670,1
idalinaKaylee8592,idalinaKaylee8592,NY,North Babylon High School,North Babylon,NY,2.6,2024,Mathematics,Computer Science,500,530,18,20,23,26,19,480,510,590,500,560,510,560,450,510,7
sharaEugen9311,sharaEugen9311,NY,Central Islip Senior High School,Central Islip,NY,2.9,2024,Chemistry,Political Science,610,560,22,26,31,26,25,650,630,670,670,620,610,620,620,600,7
abbeyDreher6906,abbeyDreher6906,NY,Ross School,East Hampton,NY,2.6,2024,Chemistry,Mathematics,640,620,26,29,26,27,27,580,620,680,640,620,570,620,620,660,5
donellaNicki8042,donellaNicki8042,NY,Bellport Senior High School,Brookhaven,NY,2.3,2024,Physics,Music Theory,480,540,18,21,22,22,16,470,510,530,490,500,480,480,500,490,9
shelleySkees3606,shelleySkees3606,NY,Walt Whitman High School,Huntington Station,NY,2.0,2024,Chemistry,Political Science,520,460,20,17,12,19,12,480,440,440,440,450,520,480,500,430,4
cosetteSwithbart2878,cosetteSwithbart2878,NY,Sachem High School North,Lake Ronkonkoma,NY,3.4,2024,Physics,Political Science,630,700,29,28,25,28,22,710,710,690,750,690,710,690,730,710,5
penelopaLuanni5385,penelopaLuanni5385,NY,East Hampton High School,East Hampton,NY,2.8,2024,Biology,Mathematics,650,660,31,30,26,22,27,670,620,610,610,630,650,620,660,680,8
faniaEzara9700,faniaEzara9700,NY,Ward Melville Senior High School,East Setauket,NY,2.4,2024,Physics,Mathematics,490,540,13,15,20,22,18,470,530,470,520,470,480,440,470,490,6
georgieBravar4445,georgieBravar4445,NY,Smithtown High School   Western Campus,Smithtown,NY,2.7,2024,Geology,Physics,560,560,19,26,22,21,24,590,560,570,570,600,590,570,570,590,6
deannaLydie2973,deannaLydie2973,NY,Earl L Vandermeulen High School,Port Jefferson,NY,2.9,2024,Physics,History,710,670,28,27,27,28,30,690,680,660,710,680,640,650,660,640,5
tasiaClayborn2529,tasiaClayborn2529,NY,Hauppauge High School,Hauppauge,NY,3.8,2024,Music Theory,Geology,750,800,36,35,29,30,32,800,740,710,720,750,790,750,740,770,2
joellHarley4541,joellHarley4541,NY,Commack High School,Commack,NY,2.6,2024,Art History,Music Theory,670,640,25,26,21,24,18,590,640,590,610,640,620,590,680,620,1
brianneKidder1342,brianneKidder1342,NY,Walt Whitman High School,Huntington Station,NY,3.3,2024,Political Science,History,750,770,28,28,35,31,28,790,750,800,780,770,730,780,790,680,3
nerteSherburne8537,nerteSherburne8537,NY,William Floyd High School,Mastic Beach,NY,2.3,2024,Biology,Physics,520,500,21,21,23,21,23,510,520,490,500,500,490,540,530,460,0
layneWalter8859,layneWalter8859,NY,Wyandanch Memorial High School,Wyandanch,NY,3.3,2024,Geology,Music Theory,770,770,33,30,35,36,36,800,780,800,800,750,800,800,770,770,9
yovonndaSoneson3630,yovonndaSoneson3630,NY,Brentwood High School,Brentwood,NY,2.8,2024,Art History,Music Theory,550,570,19,20,20,25,17,570,580,530,600,580,520,560,600,570,2
jewellPatman7564,jewellPatman7564,NY,Bay Shore Senior High School,Bay Shore,NY,2.2,2024,Computer Science,Art History,480,420,18,24,17,20,15,410,400,480,500,470,470,470,490,410,3
sheliaShue9172,sheliaShue9172,NY,Newfield High School,Selden,NY,3.3,2024,History,Music Theory,690,740,26,26,29,32,28,770,690,700,670,720,740,710,690,760,4
christiRyun3065,christiRyun3065,NY,Brentwood High School,Brentwood,NY,3.3,2024,Computer Science,Mathematics,630,650,34,25,27,26,23,680,610,670,600,670,660,660,610,650,3
helenPirozzo2155,helenPirozzo2155,NY,Southold Junior Senior High School,Southold,NY,3.5,2024,Computer Science,Geology,790,750,30,34,32,36,30,800,750,800,760,760,780,770,750,750,2
georgiannaCrutcher3030,georgiannaCrutcher3030,NY,St John the Baptist Diocesan High School,West Islip,NY,2.1,2024,Mathematics,Physics,460,520,18,18,20,14,15,460,470,490,550,470,460,460,420,520,9
natividadLucey7880,natividadLucey7880,NY,Sayville High School,West Sayville,NY,2.3,2024,Computer Science,History,490,510,19,23,17,14,15,480,450,480,480,460,480,520,490,450,1
tashaLengel7923,tashaLengel7923,NY,Lindenhurst Senior High School,Lindenhurst,NY,2.8,2024,Computer Science,Political Science,640,750,27,32,29,26,26,650,670,730,660,670,680,690,690,670,6
dedieJanerich2803,dedieJanerich2803,NY,Central Islip Senior High School,Central Islip,NY,3.1,2024,Political Science,Geology,730,660,28,31,25,26,33,670,740,700,700,700,750,690,740,720,6
arlyNagel2779,arlyNagel2779,NY,Longwood High School,Middle Island,NY,2.3,2024,Art History,Political Science,530,560,23,12,21,21,20,490,580,550,550,550,540,530,540,540,1
roshelleKara8501,roshelleKara8501,NY,Half Hollow Hills High School East,Dix Hills,NY,3.2,2024,Political Science,Chemistry,700,710,24,23,25,29,32,700,650,700,700,640,660,740,670,700,0
cherSulamith8166,cherSulamith8166,NY,Bridgehampton School,Bridgehampton,NY,2.0,2024,Physics,Computer Science,470,520,22,20,19,16,16,520,470,470,550,500,490,500,550,510,0
brenaSuzzy1659,brenaSuzzy1659,NY,Walter G Oconnell Copiague High School,Copiague,NY,3.0,2024,Biology,Music Theory,700,730,25,29,29,35,31,720,740,700,760,750,660,710,700,720,1
tammiCoffee1710,tammiCoffee1710,NY,Smithtown High School East,Saint James,NY,2.6,2024,Music Theory,History,710,660,32,29,29,26,24,620,670,660,680,670,670,680,640,690,2
hildagardGalvin4597,hildagardGalvin4597,NY,Amityville Memorial High School,Amityville,NY,2.6,2024,Physics,Political Science,650,640,29,29,24,34,23,600,640,620,660,600,630,640,630,640,8
nicolleDouglas4508,nicolleDouglas4508,NY,Smithtown High School   Western Campus,Smithtown,NY,3.3,2024,Music Theory,Physics,780,750,33,32,36,32,28,800,700,800,760,720,750,740,730,760,0
kathleenPearlman2719,kathleenPearlman2719,NY,Center Moriches High School,Center Moriches,NY,2.1,2024,Music Theory,Mathematics,500,500,17,16,20,21,21,550,550,490,540,530,520,500,540,530,7
floryPleasant5126,floryPleasant5126,NY,Deer Park High School,Deer Park,NY,2.8,2024,Political Science,Geology,650,560,27,24,28,23,24,640,670,640,660,610,610,600,650,690,3
dariceKasey5056,dariceKasey5056,NY,Connetquot High School,Bohemia,NY,3.2,2024,Computer Science,Art History,720,670,28,34,26,30,17,660,670,690,660,610,660,690,680,640,8
claribelFilip9794,claribelFilip9794,NY,Connetquot High School,Bohemia,NY,1.7,2024,Biology,Mathematics,370,350,11,6,12,13,10,320,310,380,340,270,370,400,370,340,1
christelMcLaurin3334,christelMcLaurin3334,NY,Center Moriches High School,Center Moriches,NY,3.4,2024,Computer Science,Chemistry,780,750,33,31,36,31,31,770,740,740,710,760,800,770,760,740,5
easterDaniella1472,easterDaniella1472,NY,Southold Junior Senior High School,Southold,NY,3.4,2024,Physics,Chemistry,740,730,29,34,28,32,28,790,780,740,760,690,780,730,760,750,1
harriEgor2441,harriEgor2441,NY,Southampton High School,Southampton,NY,2.7,2024,Art History,Computer Science,650,530,25,24,26,20,24,610,540,600,620,640,590,590,570,640,4
rivaRabkin7456,rivaRabkin7456,NY,Half Hollow Hills High School East,Dix Hills,NY,2.6,2024,Music Theory,Art History,630,590,23,20,21,22,25,620,590,570,540,640,610,610,610,610,5
bennieWittenburg9354,bennieWittenburg9354,NY,Westhampton Beach Senior High School,Westhampton Beach,NY,3.5,2024,Geology,Music Theory,760,760,31,36,29,27,34,720,750,720,800,750,780,770,790,800,1
ashleeDowning7840,ashleeDowning7840,NY,Bridgehampton School,Bridgehampton,NY,2.7,2024,Art History,Political Science,520,580,25,20,22,21,17,590,550,580,620,610,540,560,590,520,1
alexandraEnos6584,alexandraEnos6584,NY,East Islip High School,Islip Terrace,NY,2.9,2024,Chemistry,Political Science,640,680,26,25,24,27,24,610,640,670,650,630,640,620,590,600,5
wilmetteBettencourt7660,wilmetteBettencourt7660,NY,Mattituck Junior Senior High School,Mattituck,NY,2.7,2024,Music Theory,Chemistry,580,580,23,22,25,22,29,590,620,620,600,630,540,690,590,580,0
charlottaAbra2769,charlottaAbra2769,NY,Wyandanch Memorial High School,Wyandanch,NY,3.3,2024,Mathematics,Political Science,680,680,26,28,31,31,26,700,730,670,720,670,670,640,670,760,4
rosemaryZolly7988,rosemaryZolly7988,NY,Southold Junior Senior High School,Southold,NY,2.5,2024,Computer Science,Political Science,570,540,21,23,22,22,23,580,560,580,580,550,570,580,540,590,2
moreenLean7612,moreenLean7612,NY,Newfield High School,Selden,NY,3.1,2024,History,Biology,650,640,27,31,28,33,26,550,600,640,570,640,650,580,660,640,5
deloraJeavons5171,deloraJeavons5171,NY,West Babylon Senior High School,West Babylon,NY,2.1,2024,Political Science,Mathematics,550,510,20,20,22,21,24,540,560,520,570,520,530,510,520,530,5
stormiMuir4420,stormiMuir4420,NY,Southold Junior Senior High School,Southold,NY,2.9,2024,Computer Science,Political Science,560,620,26,28,23,24,20,600,560,590,580,610,600,550,590,580,8
klarikaMartsen9171,klarikaMartsen9171,NY,Commack High School,Commack,NY,3.1,2024,Computer Science,Political Science,720,630,32,29,30,29,27,680,610,680,630,640,660,650,690,680,3
dorrieTheurer6228,dorrieTheurer6228,NY,Eastport South Manor Junior Senior High School,Manorville,NY,2.6,2024,Physics,Computer Science,670,680,29,29,27,24,27,620,680,650,640,620,640,620,680,660,0
jayneTomasine4557,jayneTomasine4557,NY,Kings Park High School,Kings Park,NY,2.5,2024,Physics,History,620,610,23,21,23,24,17,570,630,590,580,510,530,550,600,570,5
margaretNarcho831,margaretNarcho831,NY,William Floyd High School,Mastic Beach,NY,2.4,2024,Mathematics,Chemistry,510,530,16,21,19,17,18,430,550,490,470,520,510,500,470,440,8
denysKenison9574,denysKenison9574,NY,Newfield High School,Selden,NY,2.5,2024,Computer Science,Mathematics,580,550,23,25,20,22,22,570,610,590,600,540,590,540,550,590,0
cordiLeroi4218,cordiLeroi4218,NY,Cold Spring Harbor High School,Cold Spring Harbor,NY,3.1,2024,Music Theory,Mathematics,660,660,33,22,24,26,29,640,720,640,650,680,690,610,640,600,7
sibleyStralka3521,sibleyStralka3521,NY,Bellport Senior High School,Brookhaven,NY,3.4,2024,Geology,Art History,750,790,29,31,35,31,32,700,780,780,770,780,700,730,780,780,8
emIdelia1545,emIdelia1545,NY,Smithtown High School East,Saint James,NY,3.2,2024,Physics,Mathematics,720,740,25,34,26,28,29,670,690,730,740,690,700,730,700,750,2
ethelineRovner6896,ethelineRovner6896,NY,Earl L Vandermeulen High School,Port Jefferson,NY,3.4,2024,Art History,Physics,660,680,27,26,24,28,29,670,660,760,710,710,660,680,660,730,7
deberaRoselle3662,deberaRoselle3662,NY,Sayville High School,West Sayville,NY,3.0,2024,Physics,Art History,670,680,28,28,29,28,27,640,630,650,650,640,700,620,650,630,7
crystieWillis8893,crystieWillis8893,NY,William Floyd High School,Mastic Beach,NY,3.2,2024,Chemistry,Art History,750,690,29,29,29,28,27,710,660,660,670,730,690,760,720,730,9
betteBlanch5253,betteBlanch5253,NY,West Babylon Senior High School,West Babylon,NY,2.9,2024,Political Science,Biology,670,620,26,20,24,24,20,590,580,620,620,630,600,660,620,600,9
tandieStockmon8046,tandieStockmon8046,NY,Sayville High School,West Sayville,NY,2.6,2024,History,Computer Science,590,610,31,29,15,23,18,570,590,580,570,570,570,610,580,610,5
saretteKatti7075,saretteKatti7075,NY,The Knox School,St James,NY,3.2,2024,Art History,History,650,650,26,31,28,19,31,620,650,660,670,720,650,590,690,670,9
fifiHurd6020,fifiHurd6020,NY,Bridgehampton School,Bridgehampton,NY,2.1,2024,Political Science,Music Theory,500,540,21,23,18,25,24,640,520,530,500,530,490,570,510,500,5
wandaBainbrudge841,wandaBainbrudge841,NY,Sachem High School East,Farmingville,NY,2.7,2024,Physics,Chemistry,620,640,33,27,28,26,25,610,660,660,640,660,660,660,570,580,8
nancyLowis5531,nancyLowis5531,NY,Sachem High School East,Farmingville,NY,2.9,2024,History,Biology,580,640,28,22,22,29,23,650,640,640,670,620,610,650,610,600,0
theklaGrieve7248,theklaGrieve7248,NY,Half Hollow Hills High School West,Dix Hills,NY,3.2,2024,Physics,Art History,690,770,29,36,33,32,33,700,720,760,720,690,690,700,750,680,1
julietteEmmalynn4188,julietteEmmalynn4188,NY,Mount Sinai High School,Mount Sinai,NY,2.8,2024,Chemistry,Mathematics,600,620,21,29,21,22,21,600,620,620,600,680,550,650,620,610,5
kelsiCharley4125,kelsiCharley4125,NY,Babylon Junior Senior High School,Babylon,NY,2.6,2024,History,Physics,550,580,24,23,23,27,25,620,590,620,610,570,620,630,650,590,9
gertKeelin1619,gertKeelin1619,NY,Center Moriches High School,Center Moriches,NY,2.7,2024,History,Biology,650,690,26,25,27,30,28,650,700,670,650,670,640,690,650,640,3
kailaEmelin1145,kailaEmelin1145,NY,Bellport Senior High School,Brookhaven,NY,2.8,2024,Music Theory,Geology,630,580,18,23,25,22,26,580,590,580,600,620,580,630,530,600,5
elsaMatland7730,elsaMatland7730,NY,Half Hollow Hills High School West,Dix Hills,NY,2.6,2024,Physics,Computer Science,530,570,28,21,20,25,18,520,570,530,550,490,560,540,580,530,1
betteMarshal664,betteMarshal664,NY,Deer Park High School,Deer Park,NY,2.4,2024,History,Geology,580,540,23,22,27,24,22,540,590,560,590,560,580,570,530,620,3
doreFranciskus7418,doreFranciskus7418,NY,North Babylon High School,North Babylon,NY,1.9,2024,Geology,Biology,450,440,17,15,15,17,15,500,470,470,470,490,460,440,490,480,7
lanaCummine1733,lanaCummine1733,NY,Miller Place High School,Miller Place,NY,3.0,2024,History,Music Theory,640,660,22,31,26,25,29,580,670,610,590,590,580,600,620,630,6
kariMagdalene8648,kariMagdalene8648,NY,Bridgehampton School,Bridgehampton,NY,3.1,2024,Mathematics,History,600,610,25,24,22,20,25,570,530,650,610,590,630,620,620,580,2
adahGenesa7502,adahGenesa7502,NY,Saint Anthonys High School,Huntington Station,NY,3.5,2024,Biology,Music Theory,740,780,30,35,32,34,36,800,720,770,710,740,770,710,740,680,7
samanthaKimitri8531,samanthaKimitri8531,NY,Mount Sinai High School,Mount Sinai,NY,2.8,2024,Art History,History,630,550,24,21,25,24,23,580,600,590,560,480,610,570,570,580,7
alexaEmmey46,alexaEmmey46,NY,Smithtown High School East,Saint James,NY,3.4,2024,Political Science,Chemistry,760,760,34,33,35,35,33,800,780,800,790,720,700,750,750,770,4
devinneCheney4534,devinneCheney4534,NY,Walt Whitman High School,Huntington Station,NY,2.7,2024,Physics,Music Theory,630,650,23,27,28,26,25,660,610,670,600,660,600,680,660,640,8
eveSanyu7051,eveSanyu7051,NY,St John the Baptist Diocesan High School,West Islip,NY,3.3,2024,Computer Science,Music Theory,710,660,26,30,28,29,26,690,690,730,700,690,700,690,720,690,4
adreaWendi9707,adreaWendi9707,NY,Kings Park High School,Kings Park,NY,2.4,2024,Music Theory,Computer Science,570,610,20,19,20,27,20,570,580,560,600,590,570,570,600,550,4
brandeSturges4971,brandeSturges4971,NY,Saint Anthonys High School,Huntington Station,NY,2.8,2024,History,Art History,650,610,25,26,28,25,27,630,680,580,610,600,650,660,580,610,9
rubiaMyrtie3200,rubiaMyrtie3200,NY,Mattituck Junior Senior High School,Mattituck,NY,2.8,2024,Chemistry,Music Theory,610,690,29,29,26,22,17,610,600,610,670,650,610,590,640,630,4
sandyeKhalid3825,sandyeKhalid3825,NY,Hauppauge High School,Hauppauge,NY,2.7,2024,Computer Science,Physics,620,560,19,21,22,19,21,580,560,530,590,570,540,610,550,530,1
laurenId1889,laurenId1889,NY,Half Hollow Hills High School East,Dix Hills,NY,3.0,2024,Music Theory,History,700,610,26,27,28,27,29,690,650,670,720,650,720,630,690,700,2
lineaManda5874,lineaManda5874,NY,Brentwood High School,Brentwood,NY,2.4,2024,Political Science,Computer Science,620,630,27,20,22,24,25,600,610,610,710,600,620,600,580,670,0
elaineRosanne3163,elaineRosanne3163,NY,Islip High School,Islip,NY,2.7,2024,Computer Science,Chemistry,630,640,29,27,28,24,26,630,700,590,640,670,650,650,640,660,2
elsbethDarach788,elsbethDarach788,NY,West Babylon Senior High School,West Babylon,NY,3.3,2024,Geology,Computer Science,620,690,23,30,24,31,28,650,680,640,630,710,670,660,680,720,2
gilliZima3817,gilliZima3817,NY,Newfield High School,Selden,NY,2.2,2024,Physics,Mathematics,540,440,20,19,21,20,20,500,450,440,540,510,490,500,500,510,2
jeriConcha7178,jeriConcha7178,NY,East Hampton High School,East Hampton,NY,2.9,2024,History,Geology,780,700,28,31,22,29,32,740,760,710,720,720,680,680,680,720,7
trishaFriedrick9440,trishaFriedrick9440,NY,Northport Senior High School,Northport,NY,3.5,2024,Computer Science,Physics,750,740,36,31,35,31,34,770,730,720,780,780,770,770,760,790,4
lidiaOlympias2940,lidiaOlympias2940,NY,Southampton High School,Southampton,NY,2.7,2024,Chemistry,Biology,580,630,26,24,15,25,29,610,630,620,630,530,590,620,640,600,8
constantinaSiouxie2758,constantinaSiouxie2758,NY,Mattituck Junior Senior High School,Mattituck,NY,2.6,2024,Physics,Political Science,530,540,23,18,19,18,21,520,570,570,590,530,530,620,570,510,7
missySadie4678,missySadie4678,NY,The Knox School,St James,NY,3.3,2024,Art History,Physics,710,710,29,31,34,28,25,720,690,690,680,700,660,710,680,730,6
norahStent6396,norahStent6396,NY,Centereach High School,Centereach,NY,3.0,2024,Computer Science,Geology,660,710,27,23,28,26,27,670,690,650,640,670,670,670,650,680,9
cristinHowlond3589,cristinHowlond3589,NY,East Hampton High School,East Hampton,NY,2.4,2024,Geology,Chemistry,590,530,23,22,20,22,23,610,590,570,600,640,540,630,530,640,1
leonaTeodora4641,leonaTeodora4641,NY,Center Moriches High School,Center Moriches,NY,2.2,2024,Art History,Chemistry,460,460,19,16,18,22,18,440,480,460,410,450,480,530,430,450,0
koressaDido1018,koressaDido1018,NY,Kings Park High School,Kings Park,NY,2.4,2024,Chemistry,Physics,540,520,25,26,22,24,21,520,520,570,530,560,570,530,600,520,8
ealasaidMaggie1098,ealasaidMaggie1098,NY,Connetquot High School,Bohemia,NY,2.9,2024,Mathematics,Computer Science,550,530,21,23,23,23,22,560,560,520,560,580,590,550,590,550,5
layneMears5849,layneMears5849,NY,East Hampton High School,East Hampton,NY,3.1,2024,Biology,History,730,700,30,29,35,35,32,780,700,740,670,690,740,740,690,730,9
joelieDevonna8222,joelieDevonna8222,NY,West Islip Senior High School,West Islip,NY,2.0,2024,Chemistry,History,510,530,16,16,19,17,23,510,500,510,530,520,470,470,470,530,9
nissaDougall8312,nissaDougall8312,NY,Bellport Senior High School,Brookhaven,NY,2.6,2024,Computer Science,Chemistry,560,580,25,20,20,29,27,530,590,630,540,560,570,590,590,570,8
quintillaKehr6489,quintillaKehr6489,NY,Riverhead Senior High School,Riverhead,NY,2.3,2024,Physics,Computer Science,550,510,18,22,16,17,23,470,510,480,520,530,550,510,470,510,1
teraBarkley7507,teraBarkley7507,NY,Kings Park High School,Kings Park,NY,2.5,2024,Music Theory,Biology,550,480,22,17,20,19,19,530,540,500,490,450,540,490,540,470,0
